fase;horario_sinal;horario_expiracao;ativo;estrategia;lado;entrada;saida;resultado;odd;stake_virtual;pnl_virtual
FORWARD_POS100;20/08/2026 16:10:00;20/08/2026 16:15:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72470.09;72484.61;LOSS;1.82;5.0;-5.0
FORWARD_POS100;20/08/2026 16:15:00;20/08/2026 16:20:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72484.61;72532.0;LOSS;1.82;5.0;-5.0
FORWARD_POS100;20/08/2026 16:20:00;20/08/2026 16:25:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72532.0;72625.96;LOSS;1.82;5.0;-5.0
FORWARD_POS100;20/08/2026 16:25:00;20/08/2026 16:30:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72625.96;72610.0;WIN;1.82;5.0;4.1
FORWARD_POS100;20/08/2026 16:30:00;20/08/2026 16:35:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72610.0;72588.59;WIN;1.82;5.0;4.1
FORWARD_POS100;20/08/2026 16:35:00;20/08/2026 16:40:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72588.59;72704.69;LOSS;1.82;5.0;-5.0
FORWARD_POS100;20/08/2026 16:40:00;20/08/2026 16:45:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72704.69;72719.54;LOSS;1.82;5.0;-5.0
FORWARD_POS100;20/08/2026 16:45:00;20/08/2026 16:50:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72719.54;72674.92;WIN;1.82;5.0;4.1
FORWARD_POS100;20/08/2026 16:50:00;20/08/2026 16:55:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72674.92;72677.02;LOSS;1.82;5.0;-5.0
FORWARD_POS100;20/08/2026 16:55:00;20/08/2026 17:00:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72677.02;72639.99;WIN;1.82;5.0;4.1
FORWARD_POS100;20/08/2026 17:00:00;20/08/2026 17:05:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72639.99;72709.43;LOSS;1.82;5.0;-5.0
FORWARD_POS100;20/08/2026 17:05:00;20/08/2026 17:10:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72709.43;72733.54;LOSS;1.82;5.0;-5.0
FORWARD_POS100;20/08/2026 17:10:00;20/08/2026 17:15:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;72733.54;72695.87;WIN;1.82;5.0;4.1
