fase;horario_sinal;horario_expiracao;ativo;estrategia;lado;entrada;saida;resultado;odd;stake_virtual;pnl_virtual
TREINO_REPLAY;17/08/2026 23:00:00;17/08/2026 23:05:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.1565;0.1566;WIN;1.8;5.0;4.0
TREINO_REPLAY;17/08/2026 23:15:00;17/08/2026 23:20:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.1563;0.1564;WIN;1.8;5.0;4.0
TREINO_REPLAY;17/08/2026 23:30:00;17/08/2026 23:35:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.1561;0.155999;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;17/08/2026 23:35:00;17/08/2026 23:40:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.155999;0.1561;WIN;1.8;5.0;4.0
TREINO_REPLAY;17/08/2026 23:35:00;17/08/2026 23:40:00;XLMUSDT;XLM_CHAL_RSI14_22_78;CALL;0.155999;0.1561;WIN;1.8;5.0;4.0
TREINO_REPLAY;17/08/2026 23:45:00;17/08/2026 23:50:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.1552;0.1551;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;17/08/2026 23:45:00;17/08/2026 23:50:00;XLMUSDT;XLM_CHAL_RSI14_22_78;CALL;0.1552;0.1551;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;17/08/2026 23:45:00;17/08/2026 23:50:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;CALL;0.1552;0.1551;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;18/08/2026 08:05:00;18/08/2026 08:10:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.1533;0.15361;WIN;1.8;5.0;4.0
TREINO_REPLAY;18/08/2026 08:05:00;18/08/2026 08:10:00;XLMUSDT;XLM_CHAL_RSI14_22_78;CALL;0.1533;0.15361;WIN;1.8;5.0;4.0
TREINO_REPLAY;18/08/2026 08:05:00;18/08/2026 08:10:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;CALL;0.1533;0.15361;WIN;1.8;5.0;4.0
TREINO_REPLAY;18/08/2026 08:05:00;18/08/2026 08:10:00;XLMUSDT;XLM_CHAL_RSI21_ATR02;CALL;0.1533;0.15361;WIN;1.8;5.0;4.0
TREINO_REPLAY;18/08/2026 08:10:00;18/08/2026 08:15:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.15361;0.1536;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;18/08/2026 08:10:00;18/08/2026 08:15:00;XLMUSDT;XLM_CHAL_RSI14_22_78;CALL;0.15361;0.1536;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;18/08/2026 08:10:00;18/08/2026 08:15:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;CALL;0.15361;0.1536;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;18/08/2026 08:10:00;18/08/2026 08:15:00;XLMUSDT;XLM_CHAL_RSI21_ATR02;CALL;0.15361;0.1536;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;18/08/2026 08:15:00;18/08/2026 08:20:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.1536;0.1538;WIN;1.8;5.0;4.0
TREINO_REPLAY;18/08/2026 08:15:00;18/08/2026 08:20:00;XLMUSDT;XLM_CHAL_RSI14_22_78;CALL;0.1536;0.1538;WIN;1.8;5.0;4.0
TREINO_REPLAY;18/08/2026 08:15:00;18/08/2026 08:20:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;CALL;0.1536;0.1538;WIN;1.8;5.0;4.0
TREINO_REPLAY;18/08/2026 08:15:00;18/08/2026 08:20:00;XLMUSDT;XLM_CHAL_RSI21_ATR02;CALL;0.1536;0.1538;WIN;1.8;5.0;4.0
TREINO_REPLAY;18/08/2026 08:20:00;18/08/2026 08:25:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.1538;0.154;WIN;1.8;5.0;4.0
TREINO_REPLAY;18/08/2026 08:20:00;18/08/2026 08:25:00;XLMUSDT;XLM_CHAL_RSI14_22_78;CALL;0.1538;0.154;WIN;1.8;5.0;4.0
TREINO_REPLAY;18/08/2026 08:20:00;18/08/2026 08:25:00;XLMUSDT;XLM_CHAL_RSI21_ATR02;CALL;0.1538;0.154;WIN;1.8;5.0;4.0
TREINO_REPLAY;18/08/2026 08:25:00;18/08/2026 08:30:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.154;0.1538;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;18/08/2026 08:30:00;18/08/2026 08:35:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.1538;0.1538;EMPATE;1.8;5.0;0.0
TREINO_REPLAY;18/08/2026 08:30:00;18/08/2026 08:35:00;XLMUSDT;XLM_CHAL_RSI21_ATR02;CALL;0.1538;0.1538;EMPATE;1.8;5.0;0.0
TREINO_REPLAY;18/08/2026 08:35:00;18/08/2026 08:40:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.1538;0.1536;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;18/08/2026 08:35:00;18/08/2026 08:40:00;XLMUSDT;XLM_CHAL_RSI21_ATR02;CALL;0.1538;0.1536;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;18/08/2026 08:40:00;18/08/2026 08:45:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.1536;0.1536;EMPATE;1.8;5.0;0.0
TREINO_REPLAY;18/08/2026 08:40:00;18/08/2026 08:45:00;XLMUSDT;XLM_CHAL_RSI14_22_78;CALL;0.1536;0.1536;EMPATE;1.8;5.0;0.0
TREINO_REPLAY;18/08/2026 08:40:00;18/08/2026 08:45:00;XLMUSDT;XLM_CHAL_RSI21_ATR02;CALL;0.1536;0.1536;EMPATE;1.8;5.0;0.0
TREINO_REPLAY;18/08/2026 08:45:00;18/08/2026 08:50:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.1536;0.15375;WIN;1.8;5.0;4.0
TREINO_REPLAY;18/08/2026 08:45:00;18/08/2026 08:50:00;XLMUSDT;XLM_CHAL_RSI14_22_78;CALL;0.1536;0.15375;WIN;1.8;5.0;4.0
TREINO_REPLAY;18/08/2026 08:45:00;18/08/2026 08:50:00;XLMUSDT;XLM_CHAL_RSI21_ATR02;CALL;0.1536;0.15375;WIN;1.8;5.0;4.0
TREINO_REPLAY;18/08/2026 08:55:00;18/08/2026 09:00:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.1533;0.1537;WIN;1.8;5.0;4.0
TREINO_REPLAY;18/08/2026 08:55:00;18/08/2026 09:00:00;XLMUSDT;XLM_CHAL_RSI21_ATR02;CALL;0.1533;0.1537;WIN;1.8;5.0;4.0
TREINO_REPLAY;18/08/2026 09:25:00;18/08/2026 09:30:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.1529;0.1529;EMPATE;1.8;5.0;0.0
